year,peninsula,species,usurpation
1992,unspec,dcco,
1993,unspec,dcco,
1994,unspec,dcco,
1995,unspec,dcco,
1996,unspec,dcco,
1997,unspec,dcco,
1998,unspec,dcco,
1999,unspec,dcco,
2000,unspec,dcco,
2001,unspec,dcco,
2002,unspec,dcco,
2003,unspec,dcco,
2004,unspec,dcco,
2005,unspec,dcco,
2006,unspec,dcco,
2007,unspec,dcco,
2008,unspec,dcco,
2009,unspec,dcco,3
2010,unspec,dcco,3
2011,unspec,dcco,1
2012,unspec,dcco,0
2013,unspec,dcco,0
2014,unspec,dcco,4
2015,unspec,dcco,0
2016,unspec,dcco,0
2017,unspec,dcco,1
2018,unspec,dcco,0
2019,unspec,dcco,0
2020,unspec,dcco,0
2021,unspec,dcco,
2022,unspec,dcco,
2023,unspec,dcco,
