"year","species","morans_i","n_nonzero"
1992,"BCNH",-0.182629310189401,15
1992,"DCCO",-0.0357615228999155,44
1993,"BCNH",0.0181611516712036,134
1993,"DCCO",-0.00623435970105112,81
1994,"BCNH",0.028331105450974,367
1994,"DCCO",0.0328248547106399,212
1995,"BCNH",0.0381459071518972,530
1995,"DCCO",0.0813480720263798,177
1996,"BCNH",0.0397191308938601,641
1996,"DCCO",0.0175879585492901,363
1997,"BCNH",0.0396075933746874,517
1997,"DCCO",0.014690576595962,473
1998,"BCNH",0.0144048121519514,445
1998,"DCCO",0.0103975696011012,511
1999,"BCNH",0.0236983998377975,464
1999,"DCCO",0.00743329741557846,582
2000,"BCNH",0.0955889515249274,487
2000,"DCCO",0.0134546570701071,602
2001,"BCNH",0.00140506066434388,337
2001,"DCCO",0.0504757966352786,728
2002,"BCNH",0.020200550455065,536
2002,"DCCO",0.0901228427974268,854
2003,"BCNH",0.00985305705495967,616
2003,"DCCO",0.0851519669409608,837
2004,"BCNH",0.0269719138590028,480
2004,"DCCO",0.0634613173239816,1133
2005,"BCNH",0.00932443823070165,413
2005,"DCCO",0.0362665986238091,995
2006,"BCNH",0.0194419626086384,299
2006,"DCCO",0.0296869565544858,890
2007,"BCNH",0.19352638526398,274
2007,"DCCO",0.0199131048881519,854
2008,"BCNH",0.100494843984393,183
2008,"DCCO",0.0238391718440941,758
2009,"BCNH",0.082455006064931,82
2009,"DCCO",0.01780753664277,725
2010,"BCNH",0.0250405780419675,94
2010,"DCCO",0.0185844715027472,615
2011,"BCNH",0.024470197469466,182
2011,"DCCO",0.0125928155871748,771
2012,"BCNH",0.0505291297534513,171
2012,"DCCO",0.0175005810187138,652
2013,"BCNH",0.0141754840642975,193
2013,"DCCO",0.0117844334064672,551
2014,"BCNH",0.0105798792291256,268
2014,"DCCO",0.0137559323279321,495
2015,"BCNH",0.0159349198294524,292
2015,"DCCO",0.0167845269038053,421
2016,"BCNH",0.0479762923711107,262
2016,"DCCO",0.0133966185482445,335
2017,"BCNH",0.0430288698463038,244
2017,"DCCO",0.0294891275375098,578
2018,"BCNH",0.00177255968733703,124
2018,"DCCO",-0.00237185788050752,37
2019,"BCNH",0.0728914688225259,192
2019,"DCCO",0.0562512062357172,569
2020,"BCNH",0.0138141230654144,105
2020,"DCCO",0.0437820144303086,910
2021,"BCNH",-0.00943995532459709,63
2021,"DCCO",0.0172536754734854,396
2022,"DCCO",0.0167034754174943,199
2023,"DCCO",0.0228706091132268,463
